Found (ofc legally) and compiled into one file with additions by me lol. Shoutouts to Exodus, Jolly Roger, Mentor and everyone else carin bout hackers culture these days
                                -=>Space_weed<=-

[Index to the Anarchist Cookbook IV, ver. 4.14]

COOKBOOK.IV:  Intro by Exodus
never too late to have a rethink, though.

Some examples are detailed below; let's not go into them here, it would
only spoil the surprise.

4) Choosing a suitable security philosophy and maintaining it.

>From: Gene Spafford <spaf@cs.purdue.edu>
>The fourth kind of security problem is one of perception and
>understanding.  Perfect software, protected hardware, and compatible
>components don't work unless you have selected an appropriate security
>policy and turned on the parts of your system that enforce it.  Having
>the best password mechanism in the world is worthless if your users
>think that their login name backwards is a good password! Security is
>relative to a policy (or set of policies) and the operation of a system
>in conformance with that policy.

---

From: Hacking
Subject: Hacking Ideas
Date: 11/10/93

( Please contribute by sending E-Mail to <scott@santafe.edu> ... )

[ Many ideas taken from: HaxNet - APG V1.3 : Guide to finding new holes]

NOTE: I think this should be divided into general categories:
1) General principles
2) Looking for holes in src (most items here)
3) Looking in binary distributions
4) Looking in site specific configurations

  The following general classifications suggest themselves:
1) SUID/SGID
2) Return codes/error conditions
3) unexpected input
4) race conditions
5) authentication
6) implicit trust
7) parameters
8) permissions
9) interrupts
10) I/O
11) symbolic links
12) Daemons, particularly those taking user input.
13) Kernel race conditions
14) what else? - please add categories

(Suggested splitting of above into main and sub-catagories)
I:   Suid binaries and scripts
     unexpected user interactions
     flawed liberary calls
     implicit assumptions of external conditions (sym links, loc. paths)
     race conditions
II:  daemons running with priviliged uid's
     race conditions
     poor file protectons
     implicit file protections
     trust
     authentication
III: Kernel problems
     Kernel race conditions
     device driver code

The following four step method was created by System Development
Corporation, who report a 65% success rate on the flaw hypotheses
generated.  Doing a comprehensive search for operating system flaws
requires four steps:

Step 1) Knowledge of system control structure.
===============================================
  To find security holes, and identifying design weaknesses it is
necessary to understand the system control structure, and layers.
  One should be able to list the:
A) security objects: items to be protected. ie: a users file.
B) control objects: items that protect security objects. ie: a i-node
C) mutual objects  : objects in both classes. ie: the password file
  With such a list, it is possible to graphically represent a control
hierarchy and identify potential points of attack. Making flow charts
to give a visual breakdown of relationships definitely helps.
  Reading the various users, operators, and administrators manuals should
provide this information.
(following para's should probably be moved to a "legal" section)
  Reading and greping source code should also prove valuable. For those
without a source licence, I would suggest we use LINUX, NET2, and BSD386
distributions in order to stay legal. At some future time we may be able
to form a working contract between someone or a company with legal access
to other distributions and members actively participating in this project.
  It appears that extracts of proprietary code may be used for academic
study, so long as they are not reused in a commercial product - more
checking is necessary though.

Step 2) Generate an inventory of suspected flaws. (i.e. flaw hypotheses)
========================================================================
In particular we want:
  Code history:
    What UNIX src does a particular flavor derive from? This is important
for cross references (very often only one vendor patches certain code,
which may get reused, in it's unpatched reincarnation by others)
  A solid cross reference:
    Who checked which bug in what OS and what version prevents us from
duplicating work.

  A good start would be listing all the suid binaries on the various OS
flavors/versions. Then try to work out why each program is suid. i.e.:
    rcp is suid root because it must use a privilaged port to do user
    name authentication.
  Often code that was never designed to be suid, is made suid, durring
porting to solve file access problems.
  We need to develope a data base that will be able to look at pairs and
triplets of data, specificly: program name, suid, sgid, object accessed
(why prog is suid/sgid), OS flavor/version, and flav/vers geniology.
  Any sugestions on how to implement such a DB?

Step 3) Confirm hypotheses. (test and exploit flaws)
====================================================

Step 4) Make generalizations of the underlying system weaknesses, for
        which the flaw represents a specific instance.
=====================================================================

Tool Box:
=========
AGREP: I suggest everyone obtain, and install agrep from:
    ftp cs.arizona.edu /agrep/agrep.tar.Z
  Agrep supports "windowing" so it can look for routines, and subroutines.
It also supports logical operators and is thus ideally suited to automating
the search for many of the following flaws. i.e. <psudocode>
      agrep WINDOW {suid() NOT taintperl()} /usr/local/*.pl
or    agrep WINDOW {[suid() OR sgid()] AND [system() OR popen() OR execlp()
            OR execvp()]} /usr/local/src/*.c

PERMUTATION PROGRAM: Another tool worth producing is a program to generate
all possible permutations of command line flags/arguments in order to uncover
undocumented features, and try to produce errors.

TCOV:

CRASH: Posted to USENET (what FTP archive?) (descrip?)

PAPERS: There are several papers that discuss methods of finding flaws, and
  present test suites.
  1) An Emphirical Study of the reliability of UNIX Utilities, by Barton P.
    Miller, Lars Fredriksen, and Bryan So, Comm ACM, v33 n12, pp32-44,
    Dec '90. Describes a test suite for testing random input strings.
    Results indicated that 25% of the programs hung, crashed, or misbehaved.
    In one case the OS crashed. An understanding of buffer and register
    layout on the environment in question, and the expected input is likely
    to produce the desired results.
  2) The Mothra tools set, in Proceedings of the 22nd Hawaii International
    Conference on Systems and Software, pages 275-284, Kona, HI, January '89
  3) Extending Mutation Testing to Find Environmental Bugs, by Eugene H.
    Spafford, Software Practice and Experience, 20(2):181-189, Feb '90
  4) A paper by IBM was mentioned that was submitted to USENIX a few years
    ago. (Anyone have a citation?).

Specific Flaws to Check For:
============================
1) Look for routines that don't do boundary checking, or verify input.
   ie: the gets() family of routines, where it is possible to overwrite
   buffer boundaries. ( sprintf()?, gets(), etc. )
   also: strcpy() which is why most src has:
     #define SCYPYN((a)(b)) strcpy(a, b, sizeof(a))

2) SUID/SGID routines written in one of the shells, instead of C or
   PERL.

3) SUID/SGID routines written in PERL that don't use the "taintperl"
   program.)

4) SUID/SGID routines that use the system(), popen(), execlp(), or
   execvp() calls to run something else.

5) Any program that uses relative path names inside the program.

6) The use of relative path names to specify dynamically linked libraries.
   (look in Makefile).

7) Routines that don't check error return codes from system calls. (ie:
   fork(2), suid(2), etc), setuid() rather, as in the famous rcp bug

8) Holes can often be found in code that:
  A) is ported to a new environment.
  B) receives unexpected input.
  C) interacts with other local software.
  D) accesses system files like passwd, L.sys, etc.
  E) reads input from a publicly writable file/directory.
  F) diagnostic programs which are typically not user-proofed.

9) Test code for unexpected input. Coverage, data flow, and mutation
   testing tools are available.

10) Look in man pages, and users guides for warnings against doing X, and
   try variations of X. Ditto for "bugs" section.

11) Look for seldom used, or unusual functions or commands - read backwards.
   In particular looking for undocumented flags/arguments may prove useful.
   Check flags that were in prior releases, or in other OS versions. Check
   for options that other programs might use. For instance telnet uses -h
   option to login ...
     right, as most login.c's I've seen have:
          if((getuid()) && hflag){
                 syslog()
                 exit()
                 }

12) Look for race conditions.

13) Failure of software to authenticate that it is really communicating
   with the desired software or hardware module it wants to be accessing.

14) Lack or error detection to reset protection mechanisms following an
   error.

15) Poor implementation resulting in, for example, condition codes being
   improperly tested.

16) Implicit trust: Routine B assumes routine A's parameters are correct
   because routine A is a system process.

17) System stores it's data or references user parameters in the users
   address space.

18) Inter process communication: return conditions (passwd OK, illegal
   parameter, segment error, etc) can provide a significant wedge, esp.
   when combined with (17).

19) User parameters may not be adequately checked.

20) Addresses that overlap or refer to system areas.

21) Condition code checks may be omitted.

22) Failure to anticipate unusual or extraordinary parameters.

23) Look for system levels where the modules involved were written by
   different programmers, or groups of programmers - holes are likely
   to be found.

24) Registers that point to the location of a parameters value instead
   of passing the value itself.

25) Any program running with system privileges. (too many progs are given
   uid 0, to facilitate access to certain tables, etc.)

26) Group or world readable temporary files, buffers, etc.

27) Lack of threshold values, and lack of logging/notification once these
   have been triggered.

28) Changing parameters of critical system areas prior to their execution
   by a concurrent process. (race conditions)

29) Inadequate boundary checking at compile time, for example, a user
   may be able to execute machine code disguised as data in a data area.
   (if text and data areas are shared)

30) Improperly handling user generated asynchronous interrupts. Users
   interrupting a process, performing an operation, and either returning
   to continue the process or begin another will frequently leave the
   system in an unprotected state. Partially written files are left open,
   improper writing of protection infraction messages, improper setting
   of protection bits, etc often occur.

31) Code that uses fopen(3) without setting the umask. ( eg: at(1), etc. )
  In general, code that does not reset the real and effective uid before
  forking.

32) Trace is your friend (or truss in SVR4) for helping figure out what
  system calls a program is using.

33) Scan /usr/local fs's closely. Many admins will install software from
  the net. Often you'll find tcpdump, top, nfswatch, ... suid'd root for
  their ease of use.

34) Check suid programs to see if they are the ones originally put on the
  system. Admins will sometimes put in a passwd replacement which is less
  secure than the distributed version.

35) Look for programs that were there to install software or loadable
  kernel modules.

36) Dynamically linked programs in general. Remember LD_PRELOAD, I think
  that was the variable.

37) I/O channel programming is a prime target. Look for logical errors,
  inconsistencies, and omissions.

38) See if it's possible for a I/O channel program to modify itself, loop
  back, and then execute the newly modified code. (instruction pre-load
  may screw this up)

39) If I/O channels act as independent processors they may have unlimited
  access to memory, thus system code may be modified in memory prior to
  execution.

40) Look for bugs requiring flaws in multiple pieces of software, i.e. say
  program a can be used to change config file /etc/a now program b assumes
  the information in a to be correct and this leads to unexpected results
  (just look at how many programs trust /etc/utmp)

41) Any program, especially those suid/sgid, that allow shell escapes.





 
****************************
***  HACKING TECHNIQUES  ***
***  Typed By:  LOGAN-5  ***
***   (Hacker Supreme)   ***
***       From the       ***
***   Inner Circle Book  ***
****************************
 
1) CALLBACK UNITS:
 
Callback units are a good security device, But with most phone systems,
it is quite possible for the hacker to use the following steps to get
around a callback unit that uses the same phone line for both incomming 
and out going calls:First, he calls he callback unit and enters any 
authorized ID code (this is not hard to get,as you'll see in a moment).
After he enters this ID, the hacker holds the phone line open - he does 
not hang up. When the callback unit picks up the phone to call the user back,
the hacker is there, waiting to meet it.
 
 The ID code as I said, is simple for a hacker to obtain, because these 
codes are not meant to be security precautions.The callback unit itself 
provides security by keeping incomming calls from reaching the computer.
The ID codes are no more private than most telephone numbers. Some callback 
units refer to the codes as "location identification numbers," and some 
locations are used by several different people,so their IDs are fairly 
well known.I've been told that, in some cases,callback ubits also have 
certain simple codes that are always defined by default. Once the hacker 
has entered an ID code and the callback unit has picked up the phone to 
re-call him,the hacker may or may not decide to provide a dial tone to 
allow the unit to "think" it is calling the correct number. In any event,
the hacker will then turn on his computer, connect with the system - and 
away he goes.If the however, the hacker has trouble holding the line with 
method,he has an option: the intercept.
 
The Intercept: 
 Holding the line will only work with callback units that use the same 
phone lines to call in and to call out.Some callback units use different
incoming and outgoing lines, numbers 555-3820 through 555-3830 are dedicated 
to users' incoming calls, and lines 555-2020 through 555-2030 are dedicated 
to the computers outgoing calls.The only thing a hacker needs in order to 
get through to these systems is a computer and a little time - he doesn't 
even need an ID code. First,the hacker calls any one of the outgoing phone 
lines, which, of course, will not answer.Sooner or later, though, while the 
hacker has his computer waiting there, listening to the ring, an authorized 
user will call one of the incomming lines and request to be called back.
It will usually be less than an hours wait, but the hacker's computer 
is perfectly capable of waiting for days, if need be.
 
 The callback unit will take the code of the authorized user, hang up, 
verify the code, and pick up the phone line to call back.If the unit 
tries to call out on the line the hacker has dialed, the hacker has his 
computer play a tone that sounds just like a dial tone.The computer will 
then dial the number given that matches up with the user's authorized ID.
After that,the hacker can just connect his computer as he would in any 
other case.If he is really serious,he will even decode the touch tones 
that the mainframe dialed,figure out the phone number of the user the 
system was calling, call the person, and make a few strange noises that 
sound as though the computer called back but didnt work for some reason.
 
2) TRAPDOORS AS A POSSIBLILITY
 
 I haven't heard of this happening, but i think it is possible that a 
callback modem could have a trapdoor built into it.Callback modems are
run by software, which is written by programmers.An unscrupulous programmer 
could find it very easy to slip in an unpublicized routine, such as, 
"if code =*43*, then show all valid codes and phone numbers." And such a 
routine, of course, would leave security wide open to anyone who found the 
trapdoor.The obvious protection here, assuming the situation ever arises,
is simply an ethical manufactorer that checks its software thoroughly before 
releasing it.
 
 A trapdoor is a set of special instructions embedded in the large 
program that is the operating system of a computer.A permanent, 
hopefully secret "doorway", these special instructions enabe anyone who 
knows about them to bypass normal security procedures and to gain access to 
the computer's files.Although they may sound sinister, trapdoors were not 
invented by hackers, although existing ones are certainly used by hackers 
who find out about them.
 
3) THE DECOY
 
 One of the more sophisticated hacking tools is known as the decoy, and it 
comes in three versions.The first version requires that the hacker have an 
account on the system in question. As in my case,the hacker has a 
low-security account,and he tries this method to get higher-security 
account.He will first use his low-security account to write a program that 
will emulate the log-on procedures of the systems in questions. 
This program will do the following:
 
*- Clear the terminal screen and place text on it that makes everything 
look as if the system is in charge.
 
*- Prompt for, and allow the user to enter, both an account name and a password.
*- Save that information in a place the hacker can access.
 
*- Tell the use the account/password entries are not acceptable.
 
*- turn control of the terminal back over to the system.
 
The user will now assume that the account name or password was mistyped 
and will try again...this time (scince the real operating system is in 
control) with more success.You can see a diagram of the way these steps are 
accomplished
 
 ___________________   
 |   Clear Terminal   |
 |       screen       |
 |____________________|
           ||
  _________||_________
 |  Print Compuserve  |
 |      Computer      |
 |_____ Network ______|
           ||
  _________||_________
 |   Print "ENTER     |
 |     PASSWORD"      |______
 |____________________|      |
          ||                 |
 _________||_________        |
 |  PASSWORD ENTERED? |__NO__|
 |____________________|   
          ||_YES
 _________||_________
 |   SAVE PASSWORD    |
 |    INFORMATION     |
 |____________________|
          ||
 _________||_________
 |   PRINT "LOGIN     |
 |     INCORRECT      |
 |____________________|
          ||
 _________||_________
|   LOG OFF/RETURN   |
|    CONTROL TO      |
|  OPERATING SYSTEM  |
|____________________|
 
 4) CALL FORWARDING
 
 Many people use call forwarding by special arrangement with the phone 
company.When a customer requests call forwarding, the phone company uses 
its computer to forward all the customers incomeing calls to another 
number. Lets say, for example, that you want calls that come to your office 
phone to be forwarded to your home phone: A call from you to the phone 
company,some special settings in the phone companys computer, and all 
calls to your office will ring at your home instead.This little bit of help 
from the phone company is another tool used by hackers. Lets say you thought 
that the computer you were hacking into was being watched-because the 
sysop might have seen you and called the fed's and your sort of bugged by 
this nagging feeling that they will trace the next hacker that calls, 
just call the phone company and ask for call forwarding, pick a number, 
(ANY NUMBER) out of the phone book and have your calls forwarded to that 
number,Hea,Hea, the number you picked is the one that will be traced to,
not yours, so you could be hacking away,they think that they have traced you, 
but actually the number you had your calls forwarded too. they enter chat mode
and say (YOUR BUSTED!!!!, WE'VE TRACED YOUR PHONE NUMER THE FEDS ARE ON THE 
WAY!!), You could reply (Hea, SURE YA DID! I'D LIKE TO SEE YA TRY AND GET ME! 
GO AHEAD!) ,that wont seem very important to them at the time, but it will 
sure piss them off when they bust the wrong guy!  
 
5) RAPID FIRE
 
 Memory-location manipulation can be helpful, but there is another, more 
powerful,possibility, in some cases: the Rapid-fire method.To understand how 
this methos works, you have to know something about the way operationg 
systems work.When a user enters a command, the operating system first places 
the command in a holding area, a buffer, where it will sit for a few 
millionths of a second.The system looks at the command and say's "Does this 
person really have authorization to do this, or not?" Then, the command 
sits there a few thousandths of a second while the system runs off to 
check the user's authorization.When the system comes back to the command, 
it will have one of two possible answers: "OK, GO AHEAD," or "SORRY, 
GET PERMISSION FIRST."
 
 Once you are on a system that handles things this way, you can use the 
rapid-fire method to change the command while its sitting in the buffer,
waiting to be executed. If you can do this,you can do anything.You can enter 
a command that you know will be approved, such as "tell me the time." As soon 
as the system runs off to verify your right to know the time,you change 
the command in the buffer to something you know would not be approved-perhaps
"give me a list of all the passwords." When the system comes back with an 
"OK, go ahead," it responds to your second command, not the first. Of course,
this exchange has to be done very rapidly,but most systems existing today 
can be fooled by this trick. The question is,how easy is it to do, and how 
much authority do you need? I know of one system that let this one slip.
 
These are certainly not all the hacker's little secret tricks and tool's,
You will probably figure out some better, more efficiant,hacking techniques.
 
GOOD LUCK!!!!!!
L O G A N - 5
<------------------------------------------------>
 

                                           
                       .... Composite Rocket Fuels ....
                         



DISCLAIMER: The following file contains information of harmful or illegal
            nature. Neither the BBS or author providing this information
            can be considered responsible for the use of this file.
            The person using this knowledge is solely responsible for 
            it's use or misuse. This file is intended to educate only.


             
                             1.) Introduction
                              
Composite propellants are solid rocket fuels that are composed of separate
fuels and oxidizers mixed together in one homogenous mass. This propellant
is then either molded into a grain to be inserted in an engine or cast in an
engine casing and left to harden. The fuels and oxidizers taken separately
are generally unreactive. Composite propellants are used in a number of
engines. There are engines that use water for fuel and an oxidizer, air for
an oxidizer like a ramjet, and a liquid/solid engine that can be throttled. 
The rocket motors discussed here a best built by the amateur with propellant
weights below 2 lbs. and preferably under 1 lb. This is still powerful enough
to shoot a sizable rocket to well over 4 miles altitude.
Before I get into propellant mixtures a few terms to learn are:
  Specific Impulse - Defined as the impulse (force * time) delivered by
                     burning a unit weight of propellant in a rocket engine.
                     
  Volume Specific Impulse - The product of specific impulse and density. This
                            is expressed in pound-seconds per cubic inch.
                            If the propellant's weight is kept constant, a
                            propellant with a lower Isp but a higher density
                            may outperform one with a greater Isp but a
                            lower density.

  Specific Force - This is a measurement of the ability for a gas to perform
                 work. Specific force (F) is expressed in foot-pound per
                 pound.
                 

                            3.) OXIDIZERS

Composite propellants contain both an oxidizer and a fuel. The oxidizer may
be a monopropellant and as such contributes power to the propellant mix.
The ideal oxidizer should decompose into totally gaseous exhaust.

Oxidizers used in composite propellants : Potassium perchlorate (KClO4).
Potassium pechlorate was one of the first used oxidizers. One of it's draw-
backs is the product of decomposition ( potasium chloride ) is not a gas at
regular temperatures and does not contribute as a working gas. The KCl 
appears as a dense smoke in the rockets exhaust. Burning rates of propellants
made with KClO4 are usually high at 0.8 - 0.9 in/sec at 1000 PSI. Densities
of fuels made with KClO4 also tend to high at 1.8 - 2.0 gm/cc. Specific
impulses are usually below 200 lb-sec/lb. Potassium perchlorate is hardly
ever used im modern propellants.
Ammonium Perchlorate NH4ClO4. This is the oxidizer of choice when possible.
The products of diassociation of NH4ClO4 are 100% gas. The specific impulse
of propellants using this oxidizer reaches 250 lb-sec/lb. Depending on the 
percentage of NH4ClO4 the burning rate may reach or exceed 0.5 in/sec. The
products of exhaust are N2, CO, CO2, H2, H2O, and HCl. The HCl may pose some
problem if the engine is used in high humidity as the HCl vapor may form
visible hydrochloric acid fumes.
Ammonium Nitrate NH4NO3. This oxidizer is useful as it is usually available
in bulk weight. The products of disassociation of NH4NO3 are 100% gas. How-
ever the temperatures produced by the propellant are low. For this reason,the
specific impulse of NH4NO3 propellants are usually no greater than 180 lb-sec
/lb and low percentage propellants have an Isp of 75 lb-sec/lb. The products
of exhaust of NH4NO3 propellants are N2, CO, CO2, H2, H2O. These gases cause
no special problems. The burning rate of NH4NO3 Propellants are low, ranging
from 0.05 in/sec to 0.27 in/sec. The higher burning rates are possible if
catalysts are used in the propellant. Prussian blue, chromium compounds
(ammonium dichromate), or cobalt compounds are catalysts that are used. 
Ammonium nitrate is hygroscopic and undergoes a phase change if the temper-
ature goes above 90 deg./F. Because of this phase change, some grains may
crack if the temperature cycles about this temperature. The burning temper-
ature of NH4NO3 propellants are lower than any other propellants especially
at low percentages of oxidizer.
Lithium Perchorate LiClO4. Some work has been done using lithium perchlorate
as an oxidizer. The lithium chloride formed in the exhaust is a gas at high
temperatures. Lithium salts are hygroscopic and must be protected from high
humidity. Burning rates of LiClO4 propellants are similar to KClO4 mixtures.

                                 4.) FUELS
                                 
Fuels Used in Composite Propellants : Since most rubbers and polymers are not
available to the general public, some adjustments have to be made. A good
source of plastics is an auto supply store. There you can find epoxy resin
which can be used as a fuel. You will also find fiberglass resin. This is a
liquid made from polystyrene and polyester resin. It is catalyzed with a few
drops of hardener. PVC plastic can be dissolved in tetrahydofuran to make 
a thick paste. This can be mixed with an oxidizer and allowed to dry for an 
extended time to form a propellant grain. Asphalt was used in some JATO units
about 30 years ago but it was found lacking when used at high temperatures.
Some fuels used in commercial engines are polyurethane rubber, polysulfide
rubber, and butadiene-acrylic acid. Non ferrous metals are added to propell-
ants to increase the temperature of combustion and consequently the Isp. The
metals most used are aluminum, magnesium, and copper. The metals are usually
added in amounts of 5% - 25%. In engines designed to breath water as an oxid-
izer, metal amounts to about 50% to 80% of the weight of the propellant. The
other components are usually ammonium perchlorate and a polymer.

Propellant Grain Geometry : If the grain is ignited from end on, like a
candle burns, the thrust will be steady or neutral. If the grain has a hole
in it extending end to end and the combustion takes place from the inside out
then the thrust will rise to a peak or be progressive. This is because the
surface area of the grain becomes greater as it burns whereas in a neutral
grain the surface area remains the same. A cruciform shaped grain produces a
large amount of thrust first then tapers off because the surface area becomes
smaller. If the grain is tubular and the combustion takes place from both the
inside out and the outside in, then the thrust will be neutral but fast
burning.
Wherever you wish the grain not to burn, it must be coated with a retardent.
Epoxy works well as a retardent as does Elmers white glue. At least two coats
of retardent should be used. An epoxy retardent can be used to retain a grain
in a rocket engine. When tubular grains are used, the igniter is usually put
towards the nose of the rocket and fires backwards towards the nozzle. This
insures the grain is ignited completely.
Inspect the propellant grain for any cracks or imperfections. A crack can 
cause the surface area of the propellant to increase astronomically. This can
cause an explosion because of the increased pressure.


                            5.) PROPELLANT MIXTURES

The ratios of oxidizers and fuels depends on the type of engine desired. The
amount of oxidizer can be as high as 90% as in some ammonium nitrate mixes to
as little as 20% ammonium perchlorate as in some water breathing engines.

A fast burning mixture: Potassium Perchlorate 20%
       Isp=200          Ammonium Perchlorate  55%
                        Epoxy Resin/Hardener  17%
                        Powdered Aluminum      8%
 This is very fast burning but the exhaust makes a fairly heavy smoke.
 
A slow burning propellant. Great for sustainer engines.
       Isp=165          Ammonium Nitrate     70%
                        Ammonium Perchlorate 10%
                        Polyester Resin      18%                        
                        Powdered Charcoal     2%
Not very powerful but useful. The charcoal helps keep the combustion steady.

A very powerful mixture: Ammonium Perchlorate 75%
      Isp=250            Powdered Aluminum    10%
                         PVC in THF           15%                        
All the ingredients should be dampened with THF (tetrahydrofuran) before
mixing. Do this in an area with very good ventilation and wear rubber gloves
to keep from contacting the THF with bare skin. This mixture is best used in
a perforated grain to help the solvent evaporate.

An ammonium nitrate based propellant: Ammonium Nitrate   70%
             Isp=160                  Powdered Aluminum   5% 
                                      Polyester Resin    18%
                                      Ammonium Bichromate 5%
                                      Powdered Charcoal   2%
A good mix when perchlorates are not available.

Do not under any circumstances use chlorates for rocket propellants. You will
not make a rocket, just a pipe bomb with fins.


                      6.) COMPOUNDING PROPELLANTS

One thing to keep in mind when making a propellant, the volume of fuel/binder
to volume of oxidizer and additives must not be too low. If it is then the
mixture will be too dry to mix well. It will also hurt the strength of the 
grain. You may have to cut down on the amount of oxidizer depending on the
fuel you are using.
For rockets weighing 1 pound and less the easiest way to make the propellant
is to obtain a suitable container for mixing and put in the bottom of it the
correct amount of fuel/binder. The other ingredients are added one at a time 
to the fuel and mixed in. One thing that really determines the success of a
propellant is the particle size of the oxidizer. It should be as finely
powdered as possible. Continue mixing the propellant until it is a homo-
geneous mixture. Now pour it or stuff it into the engine casing taking care
to eliminate all air bubbles. Any mandrels needed to form the grain to shape
shpould already be lubricated for release and in place. After waiting a suit-
able time for the binder to harden, remove the mandrels and place the engine
in a warm place to finish curing. Inspect the grain for any cracks or imper-
fections.
Some large propellant grains are constructed by cementing smaller grains to-
gether. Disks of propellant can be glued and stacked to form a long grain.
The disks can be drilled with a number of holes to make a progressive or
regressive burning grain. The holes are lined up when the disks are stacked.
If you construct a press with a number of guide rods to match the drilled
holes, so much the better. The cement can be a very thin layer of the polymer
used to make the grain. If you are using a PVC based grain, then dampen both
mating surfaces with THF and press them together for a minute before adding
the next disk.
You can also load a cardboard casing with the propellant. After the prope-
llant is cured, this cartridge is loaded into the engine.
When drilling these propellants or using any power tool for shaping them, use
the lowest speed while checking to make sure no heat is building up on the
cutting surface. If care is used, machining propellants is safe.

                            7.) ENGINE CONSTRUCTION

The typical engine is designed to operate at 1000 psi. The casing of the
engine should be able to withstand at least 3000 psi as a safety factor. A
low carbon seamless steel tube with 1/16" walls can withstand that sort of
pressure. If the tubing has a welded seam, test fire a few engines to see if
the tubes can take the pressure. One drawback to using steel as an engine
casing is if the engine explodes you have some very lethal shrapnel flying
around. If you use a high strength/high heat plastic you can eliminate some
of this danger. Epoxy can be used to wet down a mat of fiberglass then the
fiberglass is rolled around a large dowel to form a casing. The dowel has to
be coated with a lubricant to keep the epoxy from gluing the casing and 
dowel together. Or you can obtain a heavy cardboard tube with the correct ID
and coat it with epoxy then wrap epoxy/fiberglass around it. If the tubes are
constructed properly they can take quite a bit of pressure before splitting
apart.
An rocket engine is equipped with a nozzle to accelerate the exhaust out of
the rocket at a high velocity. A nozzle has a convergent section that does 
this. A divergent section of nozzle is used to lower the exhaust pressure
so the exhaust gases accelerate out of the engine at high speeds.
The nozzle of the engine can be machined out of metal or made of a fireproof
ceramic. If the nozzle and the casing are metal, they can be brazed together
before the engine is loaded. The nozzle can also be screwed into place by
using 4 - 6 screws going through the side of the casing into the nozzle. Care
must be used to see that the screws don't break through the inside of the
nozzle. On smaller rockets, you may be able to get away with plaster of paris
nozzles or for more powerful motors try pressing a mixture of 90% kaolin and
10% aluminum oxide into a nozzle shape in the casing. Dampen the mix with a
little water before pressing. You can make a nozzle die by turning 2 pieces
of hardwood into divergent/convergent sections. This die should be fitted 
with a dowel guide pin at the mating points to help keep the die straight.
A nozzle can be made from just a divervent section. This can be easily made
by drilling the required hole in a section of nozzle. Then by drilling out
the first hole with larger drills without completely breaking through, a
diverging nozzle is formed. Smooth out the ID of the nozzle after drilling 
the holes. This type of nozzle is pretty good on smaller engines with a 1" ID
or less. By using some ingenuity, you should have no problem in making a 
servicable nozzle. A rule of thumb to use for the ID of the nozzle is to use
a hole that has an area (repeat-area,not diameter) 1/3 the area of the ID of
the rocket engine casing.
Most propellants burn unsteadily at low pressures. Solid rocket engines are
equipped with a blast plug that allows the pressure to build up in the engine
before being blown out like a cork in a bottle. Sometimes the ignitor is
combined with the blast plug in a single unit. A stiff plastic disk makes for
a good plug. It should have a thickness of about 1/16".
The engine is sealed with a plug in the fore section. Depending on the con-
struction of the engine this plug may be made of wood, plastic, or metal. It
is held in place with either screws or epoxy. This plug must make the casing
gas tight. Remember most rockets develop 1000 PSI.
The ignitor is simply an electric match. It can be made with nichrome wire
or a small light bulb. The match is used to ignite a small charge of black
powder that in turn ignites the propellant. The ignitors leads should be 
shunted together to eliminate premature ignition. A fuse can be used instead
of electric ignition. If you go this route, be sure of the burning time of
the fuse and allow yourself enough time to retreat to safety after igniting
the fuse. I cannot recommend using a fuse because you cannot stop a fuse
from burning if someone walks into your launch area. With electric ignition,
everything is under your control until the time of launching.
 
                             8.) Engine Design

   It would be nice to be able to give you the complete info on designing
rocket engines. However, the required math would be a file about 300K in
length. Also this file is mainly about propellants. The other info is gravy.
 The best I can offer is to check out your local library for design
and engineering books. If you want to build a rocket to simply shoot off to
stroke your pyro perversions, build a small engine containing no more than
4 oz. of fuel. Use a paper casing to keep the danger down and chances are
very good that if your construction is sound you'll get the thrill of seeing
your rocket go out of sight. If you plan to hoist a payload into suborbital
projectory however, learn about thermodynamics, interior ballistics, and
propellant chemistry.
 I recommend trying to get the book Amateur Rocketry Handbook. This
book is out of print but it was put together by the Fort Sill Artillery 
School and contains a lot of valuable info.

                       9.) Testing and Firing

    You should construct a few engines exactly the same and test fire a 
number of them to find out what to expect when you finally do launch a rocket
. The engines can be buried nozzle end up in the ground and fired. Time the
burning of the engine to figure out the rate of combustion of the propellant.
Inspect the casing to see how it stood up. If everything seems okay you can
construct a static testing fixture to measure the thrust. Keep in mind that
even a small engine can put out a few hundred pounds thrust for a split 
second. When you do launch a rocket, keep people away from the launch site
and under cover. Check out the skies for airplanes or other traffic. Don't
launch rockets under conditions of low visibility or heavy winds.



                         *** Kilroy was here ***
THE COMPLETE SOCIAL ENGINEERING FAQ!
"There's a sucker born every minute." PT Barnum

"Don't touch me, sucka." Mr. T

By bernz (official sponsor of the 1996 Croatian Olympic Men's Synchronized Swimming Team)
with shoutouts to: The Genocide2600, Silicon Toad and your big fat mama.

DISCLAIMER!!!!! THIS INFORMATION IS HERE FOR THE SOLE PURPOSE OF
ENLIGHTENMENT! IF YOU USE IT AND GET CAUGHT, NO ONE IS TO BLAME BUT
YOUR OWN IDIOTIC ASS!!!

SECTION I: INTRO
1.1 What is social engineering?
